unique_id,seasonal_str,trend_str
m239,With seasonality,With trend
m24,With seasonality,With trend
m240,With seasonality,With trend
m241,With seasonality,With trend
m242,With seasonality,With trend
m243,With seasonality,With trend
m244,No seasonality,With trend
m245,With seasonality,With trend
m246,With seasonality,With trend
m247,With seasonality,With trend
m248,With seasonality,With trend
m249,No seasonality,With trend
m25,With seasonality,With trend
m250,No seasonality,With trend
m251,With seasonality,With trend
m252,With seasonality,With trend
m253,With seasonality,With trend
m254,No seasonality,With trend
m255,With seasonality,With trend
m256,With seasonality,With trend
m257,With seasonality,With trend
m258,With seasonality,With trend
m259,With seasonality,With trend
m26,With seasonality,With trend
m260,With seasonality,With trend
m261,With seasonality,With trend
m262,No seasonality,With trend
m263,No seasonality,With trend
m264,With seasonality,With trend
m265,With seasonality,With trend
m266,With seasonality,With trend
m267,No seasonality,With trend
m268,No seasonality,With trend
m269,With seasonality,With trend
m27,With seasonality,With trend
m270,With seasonality,With trend
m271,With seasonality,With trend
m272,No seasonality,With trend
m273,With seasonality,With trend
m274,With seasonality,With trend
m275,With seasonality,With trend
m276,With seasonality,With trend
m277,With seasonality,With trend
m278,With seasonality,With trend
m279,With seasonality,With trend
m28,With seasonality,With trend
m280,With seasonality,With trend
m281,With seasonality,With trend
m282,With seasonality,With trend
m283,With seasonality,With trend
m284,With seasonality,With trend
m285,With seasonality,With trend
m286,With seasonality,With trend
m287,With seasonality,No trend
m288,With seasonality,With trend
m289,With seasonality,With trend
m29,With seasonality,With trend
m290,With seasonality,With trend
m291,With seasonality,With trend
m292,With seasonality,With trend
m293,With seasonality,With trend
m294,With seasonality,With trend
m295,With seasonality,With trend
m296,With seasonality,With trend
m297,With seasonality,With trend
m298,With seasonality,With trend
m299,With seasonality,With trend
m3,With seasonality,With trend
m30,With seasonality,With trend
m300,With seasonality,With trend
m301,With seasonality,With trend
m302,With seasonality,With trend
m303,With seasonality,With trend
m304,With seasonality,With trend
m305,With seasonality,With trend
m306,With seasonality,With trend
m307,With seasonality,With trend
m308,With seasonality,With trend
m309,With seasonality,With trend
m31,With seasonality,With trend
m310,With seasonality,With trend
m311,With seasonality,With trend
m312,With seasonality,With trend
m313,With seasonality,With trend
m314,With seasonality,With trend
m315,With seasonality,With trend
m316,With seasonality,With trend
m317,With seasonality,No trend
m318,With seasonality,No trend
m319,With seasonality,With trend
m32,With seasonality,With trend
m320,With seasonality,With trend
m321,With seasonality,With trend
m322,With seasonality,With trend
m323,With seasonality,With trend
m324,With seasonality,With trend
m325,With seasonality,With trend
m326,With seasonality,With trend
m327,With seasonality,With trend
m328,With seasonality,With trend
m329,With seasonality,With trend
m33,With seasonality,With trend
m330,No seasonality,With trend
m331,With seasonality,With trend
m332,With seasonality,With trend
m333,No seasonality,With trend
m334,With seasonality,With trend
m335,With seasonality,With trend
m336,With seasonality,With trend
m337,No seasonality,With trend
m338,With seasonality,With trend
m339,With seasonality,With trend
m34,With seasonality,With trend
m340,With seasonality,With trend
m341,With seasonality,With trend
m342,No seasonality,With trend
m343,With seasonality,With trend
m344,With seasonality,With trend
m345,With seasonality,With trend
m346,With seasonality,With trend
m347,No seasonality,With trend
m348,With seasonality,With trend
m349,With seasonality,With trend
m35,With seasonality,With trend
m350,With seasonality,With trend
m351,With seasonality,With trend
m352,With seasonality,With trend
m353,With seasonality,With trend
m354,With seasonality,With trend
m355,With seasonality,With trend
m356,With seasonality,With trend
m357,With seasonality,With trend
m358,With seasonality,With trend
m359,With seasonality,With trend
m36,With seasonality,With trend
m360,With seasonality,With trend
m361,With seasonality,With trend
m362,With seasonality,With trend
m363,With seasonality,With trend
m364,With seasonality,No trend
m365,With seasonality,With trend
m366,With seasonality,With trend
m37,With seasonality,With trend
m38,With seasonality,With trend
m39,No seasonality,With trend
m4,With seasonality,With trend
m40,With seasonality,With trend
m41,With seasonality,With trend
m42,With seasonality,With trend
m43,With seasonality,With trend
m44,With seasonality,With trend
m45,With seasonality,With trend
m46,No seasonality,With trend
m47,With seasonality,With trend
m48,With seasonality,With trend
m49,With seasonality,With trend
m5,With seasonality,With trend
m50,With seasonality,With trend
m51,With seasonality,With trend
m52,With seasonality,With trend
m53,With seasonality,With trend
m54,With seasonality,With trend
m55,With seasonality,With trend
m56,With seasonality,With trend
m57,With seasonality,With trend
m58,With seasonality,With trend
m59,With seasonality,With trend
m6,With seasonality,With trend
m60,With seasonality,With trend
m61,With seasonality,With trend
m62,With seasonality,With trend
m63,With seasonality,With trend
m64,With seasonality,With trend
m65,With seasonality,With trend
m66,With seasonality,With trend
m67,With seasonality,With trend
m68,With seasonality,With trend
m69,With seasonality,With trend
m7,With seasonality,With trend
m70,With seasonality,With trend
m71,With seasonality,With trend
m72,With seasonality,With trend
m73,With seasonality,With trend
m74,No seasonality,With trend
m75,No seasonality,With trend
m76,With seasonality,With trend
m77,With seasonality,With trend
m78,No seasonality,With trend
m79,No seasonality,With trend
m8,No seasonality,With trend
m80,No seasonality,With trend
m81,No seasonality,With trend
m82,No seasonality,With trend
m83,With seasonality,With trend
m84,With seasonality,With trend
m85,With seasonality,With trend
m86,With seasonality,With trend
m87,With seasonality,With trend
m88,With seasonality,With trend
m89,With seasonality,With trend
m9,No seasonality,With trend
m90,With seasonality,With trend
m91,No seasonality,With trend
m92,No seasonality,With trend
m93,With seasonality,With trend
m94,With seasonality,With trend
m95,With seasonality,With trend
m96,With seasonality,With trend
m97,With seasonality,With trend
m98,With seasonality,With trend
m99,With seasonality,With trend
