unique_id,seasonal_str,trend_str
q172,With seasonality,With trend
q173,With seasonality,With trend
q174,With seasonality,With trend
q175,With seasonality,With trend
q176,With seasonality,With trend
q177,With seasonality,With trend
q178,With seasonality,With trend
q179,With seasonality,With trend
q18,No seasonality,With trend
q180,With seasonality,With trend
q181,With seasonality,No trend
q182,With seasonality,With trend
q183,With seasonality,With trend
q184,With seasonality,With trend
q185,With seasonality,With trend
q186,With seasonality,With trend
q187,With seasonality,With trend
q188,With seasonality,With trend
q189,With seasonality,With trend
q19,With seasonality,With trend
q190,With seasonality,With trend
q191,No seasonality,With trend
q192,With seasonality,With trend
q193,With seasonality,With trend
q194,No seasonality,With trend
q195,With seasonality,With trend
q196,With seasonality,With trend
q197,With seasonality,With trend
q198,No seasonality,With trend
q199,With seasonality,With trend
q2,With seasonality,With trend
q20,With seasonality,With trend
q200,With seasonality,With trend
q201,With seasonality,With trend
q202,With seasonality,With trend
q203,No seasonality,With trend
q204,With seasonality,With trend
q205,With seasonality,With trend
q206,With seasonality,With trend
q207,With seasonality,With trend
q208,No seasonality,No trend
q209,With seasonality,With trend
q21,With seasonality,With trend
q210,With seasonality,With trend
q211,With seasonality,With trend
q212,With seasonality,With trend
q213,With seasonality,With trend
q214,With seasonality,With trend
q215,With seasonality,With trend
q216,With seasonality,With trend
q217,With seasonality,With trend
q218,With seasonality,With trend
q219,With seasonality,With trend
q22,With seasonality,With trend
q220,With seasonality,With trend
q221,With seasonality,With trend
q222,With seasonality,With trend
q223,With seasonality,With trend
q224,With seasonality,With trend
q225,With seasonality,With trend
q226,No seasonality,With trend
q227,With seasonality,With trend
q228,With seasonality,With trend
q229,With seasonality,With trend
q23,With seasonality,With trend
q230,With seasonality,With trend
q231,With seasonality,With trend
q232,With seasonality,With trend
q233,With seasonality,With trend
q234,With seasonality,With trend
q235,With seasonality,With trend
q236,With seasonality,With trend
q237,With seasonality,With trend
q238,With seasonality,With trend
q239,With seasonality,With trend
q24,With seasonality,With trend
q240,With seasonality,With trend
q241,With seasonality,With trend
q242,With seasonality,With trend
q243,With seasonality,With trend
q244,With seasonality,With trend
q245,With seasonality,With trend
q246,With seasonality,With trend
q247,With seasonality,With trend
q248,With seasonality,With trend
q249,With seasonality,With trend
q25,With seasonality,With trend
q250,With seasonality,With trend
q251,With seasonality,With trend
q252,With seasonality,With trend
q253,No seasonality,With trend
q254,With seasonality,With trend
q255,With seasonality,With trend
q256,With seasonality,With trend
q257,With seasonality,With trend
q258,No seasonality,With trend
q259,No seasonality,With trend
q26,With seasonality,With trend
q260,With seasonality,With trend
q261,With seasonality,With trend
q262,With seasonality,With trend
q263,With seasonality,With trend
q264,With seasonality,With trend
q265,With seasonality,With trend
q266,With seasonality,With trend
q267,With seasonality,With trend
q268,With seasonality,With trend
q269,With seasonality,With trend
q27,With seasonality,With trend
q270,With seasonality,With trend
q271,With seasonality,With trend
q272,With seasonality,With trend
q273,No seasonality,With trend
q274,With seasonality,With trend
q275,With seasonality,With trend
q276,With seasonality,With trend
q277,No seasonality,With trend
q278,No seasonality,With trend
q279,No seasonality,With trend
q28,With seasonality,With trend
q280,With seasonality,With trend
q281,With seasonality,With trend
q282,With seasonality,With trend
q283,No seasonality,With trend
q284,With seasonality,With trend
q285,With seasonality,With trend
q286,With seasonality,With trend
q287,With seasonality,With trend
q288,With seasonality,With trend
q289,With seasonality,With trend
q29,With seasonality,With trend
q290,With seasonality,With trend
q291,With seasonality,With trend
q292,With seasonality,With trend
q293,With seasonality,With trend
q294,With seasonality,With trend
q295,With seasonality,With trend
q296,With seasonality,With trend
q297,With seasonality,With trend
q298,No seasonality,With trend
q299,With seasonality,With trend
q3,No seasonality,With trend
q30,With seasonality,With trend
q300,With seasonality,With trend
q301,With seasonality,With trend
q302,With seasonality,With trend
q303,No seasonality,With trend
q304,No seasonality,With trend
q305,With seasonality,With trend
q306,With seasonality,With trend
q307,With seasonality,With trend
q308,No seasonality,With trend
q309,No seasonality,With trend
q31,With seasonality,With trend
q310,With seasonality,With trend
q311,With seasonality,With trend
q312,With seasonality,With trend
q313,No seasonality,With trend
q314,No seasonality,With trend
q315,With seasonality,With trend
q316,With seasonality,With trend
q317,With seasonality,With trend
q318,No seasonality,With trend
q319,No seasonality,With trend
q32,With seasonality,With trend
q320,With seasonality,With trend
q321,With seasonality,With trend
q322,With seasonality,With trend
q323,No seasonality,With trend
q324,With seasonality,With trend
q325,With seasonality,With trend
q326,With seasonality,With trend
q327,With seasonality,With trend
q328,No seasonality,With trend
q329,With seasonality,With trend
q33,With seasonality,With trend
q330,With seasonality,With trend
q331,With seasonality,With trend
q332,With seasonality,With trend
q333,With seasonality,With trend
q334,With seasonality,With trend
q335,With seasonality,With trend
q336,With seasonality,With trend
q337,With seasonality,With trend
q338,With seasonality,With trend
q339,With seasonality,With trend
q34,With seasonality,With trend
q340,With seasonality,With trend
q341,With seasonality,With trend
q342,With seasonality,With trend
q343,With seasonality,With trend
q344,With seasonality,With trend
q345,With seasonality,With trend
q346,With seasonality,With trend
q347,With seasonality,With trend
q348,No seasonality,With trend
q349,No seasonality,With trend
q35,With seasonality,With trend
q350,With seasonality,With trend
q351,With seasonality,With trend
q352,With seasonality,With trend
q353,With seasonality,With trend
q354,With seasonality,With trend
q355,With seasonality,With trend
q356,With seasonality,With trend
q357,With seasonality,With trend
q358,No seasonality,With trend
q359,With seasonality,With trend
q36,With seasonality,With trend
q360,With seasonality,With trend
q361,With seasonality,With trend
q362,With seasonality,With trend
q363,With seasonality,With trend
q364,With seasonality,With trend
q365,With seasonality,With trend
q366,With seasonality,With trend
q367,With seasonality,With trend
q368,With seasonality,With trend
q369,With seasonality,With trend
q37,With seasonality,With trend
q370,With seasonality,With trend
q371,With seasonality,With trend
q372,With seasonality,With trend
q373,With seasonality,With trend
q374,With seasonality,With trend
q375,With seasonality,With trend
q376,With seasonality,With trend
q377,With seasonality,With trend
q378,With seasonality,With trend
q379,With seasonality,With trend
q38,With seasonality,With trend
q380,With seasonality,With trend
q381,With seasonality,With trend
q382,With seasonality,With trend
q383,With seasonality,With trend
q384,With seasonality,With trend
q385,With seasonality,With trend
q386,With seasonality,With trend
q387,With seasonality,With trend
q388,With seasonality,With trend
q389,With seasonality,With trend
q39,With seasonality,With trend
q390,With seasonality,With trend
q391,No seasonality,With trend
q392,With seasonality,With trend
q393,No seasonality,With trend
q394,No seasonality,With trend
q395,With seasonality,With trend
q396,With seasonality,With trend
q397,With seasonality,With trend
q398,No seasonality,With trend
q399,With seasonality,With trend
q4,With seasonality,With trend
q40,With seasonality,With trend
q400,With seasonality,With trend
q401,With seasonality,With trend
q402,With seasonality,With trend
q403,No seasonality,With trend
q404,With seasonality,With trend
q405,With seasonality,With trend
q406,With seasonality,With trend
q407,With seasonality,With trend
q408,No seasonality,With trend
q409,With seasonality,With trend
q41,With seasonality,With trend
q410,With seasonality,With trend
q411,With seasonality,With trend
q412,With seasonality,With trend
q413,With seasonality,With trend
q414,With seasonality,With trend
q415,With seasonality,With trend
q416,With seasonality,With trend
q417,With seasonality,With trend
q418,With seasonality,With trend
q419,With seasonality,With trend
q42,With seasonality,With trend
q420,With seasonality,With trend
q421,With seasonality,With trend
q422,With seasonality,With trend
q423,With seasonality,With trend
q424,With seasonality,With trend
q425,With seasonality,No trend
q426,With seasonality,With trend
q427,With seasonality,With trend
q43,With seasonality,With trend
q44,No seasonality,With trend
q45,With seasonality,With trend
q46,With seasonality,With trend
q47,No seasonality,With trend
q48,With seasonality,With trend
q49,With seasonality,With trend
q5,No seasonality,With trend
q50,With seasonality,With trend
q51,No seasonality,With trend
q52,With seasonality,With trend
q53,No seasonality,With trend
q54,No seasonality,With trend
q55,With seasonality,With trend
q56,With seasonality,With trend
q57,With seasonality,With trend
q58,With seasonality,With trend
q59,With seasonality,With trend
q6,With seasonality,With trend
q60,With seasonality,With trend
q61,With seasonality,With trend
q62,With seasonality,With trend
q63,With seasonality,With trend
q64,With seasonality,With trend
q65,No seasonality,With trend
q66,With seasonality,With trend
q67,With seasonality,With trend
q68,With seasonality,With trend
q69,With seasonality,With trend
q7,With seasonality,With trend
q70,With seasonality,With trend
q71,With seasonality,With trend
q72,With seasonality,With trend
q73,With seasonality,With trend
q74,With seasonality,With trend
q75,With seasonality,With trend
q76,With seasonality,With trend
q77,With seasonality,With trend
q78,With seasonality,With trend
q79,With seasonality,With trend
q8,No seasonality,With trend
q80,With seasonality,With trend
q81,With seasonality,With trend
q82,With seasonality,With trend
q83,With seasonality,With trend
q84,With seasonality,With trend
q85,With seasonality,With trend
q86,With seasonality,With trend
q87,With seasonality,With trend
q88,With seasonality,With trend
q89,With seasonality,With trend
q9,No seasonality,With trend
q90,With seasonality,With trend
q91,With seasonality,With trend
q92,With seasonality,With trend
q93,With seasonality,With trend
q94,With seasonality,With trend
q95,With seasonality,With trend
q96,With seasonality,With trend
q97,With seasonality,With trend
q98,With seasonality,With trend
q99,With seasonality,With trend
