unique_id,seasonal_str,trend_str
M1283,No seasonality,With trend
M1284,No seasonality,With trend
M1285,No seasonality,With trend
M1286,No seasonality,With trend
M1287,No seasonality,With trend
M1288,No seasonality,With trend
M1289,With seasonality,With trend
M129,No seasonality,No trend
M1290,No seasonality,With trend
M1291,No seasonality,With trend
M1292,No seasonality,With trend
M1293,No seasonality,With trend
M1294,No seasonality,With trend
M1295,No seasonality,With trend
M1296,No seasonality,With trend
M1297,No seasonality,With trend
M1298,With seasonality,With trend
M1299,With seasonality,With trend
M13,No seasonality,No trend
M130,With seasonality,With trend
M1300,No seasonality,With trend
M1301,No seasonality,With trend
M1302,No seasonality,With trend
M1303,No seasonality,With trend
M1304,No seasonality,With trend
M1305,No seasonality,With trend
M1306,No seasonality,With trend
M1307,No seasonality,With trend
M1308,No seasonality,With trend
M1309,No seasonality,With trend
M131,No seasonality,With trend
M1310,No seasonality,With trend
M1311,No seasonality,With trend
M1312,With seasonality,With trend
M1313,No seasonality,With trend
M1314,No seasonality,With trend
M1315,No seasonality,With trend
M1316,With seasonality,With trend
M1317,No seasonality,With trend
M1318,No seasonality,With trend
M1319,No seasonality,With trend
M132,With seasonality,No trend
M1320,No seasonality,With trend
M1321,No seasonality,With trend
M1322,With seasonality,With trend
M1323,With seasonality,With trend
M1324,With seasonality,With trend
M1325,With seasonality,With trend
M1326,With seasonality,With trend
M1327,With seasonality,With trend
M1328,With seasonality,With trend
M1329,With seasonality,With trend
M133,With seasonality,No trend
M1330,With seasonality,With trend
M1331,No seasonality,With trend
M1332,With seasonality,With trend
M1333,No seasonality,With trend
M1334,With seasonality,No trend
M1335,With seasonality,With trend
M1336,With seasonality,With trend
M1337,With seasonality,With trend
M1338,With seasonality,With trend
M1339,With seasonality,With trend
M134,No seasonality,No trend
M1340,With seasonality,With trend
M1341,With seasonality,With trend
M1342,With seasonality,With trend
M1343,No seasonality,With trend
M1344,No seasonality,With trend
M1345,No seasonality,With trend
M1346,With seasonality,With trend
M1347,With seasonality,With trend
M1348,No seasonality,With trend
M1349,With seasonality,With trend
M135,With seasonality,No trend
M1350,No seasonality,With trend
M1351,With seasonality,No trend
M1352,With seasonality,With trend
M1353,With seasonality,No trend
M1354,With seasonality,With trend
M1355,With seasonality,With trend
M1356,No seasonality,With trend
M1357,No seasonality,With trend
M1358,No seasonality,With trend
M1359,No seasonality,With trend
M136,With seasonality,With trend
M1360,No seasonality,With trend
M1361,No seasonality,With trend
M1362,No seasonality,With trend
M1363,No seasonality,With trend
M1364,No seasonality,With trend
M1365,No seasonality,With trend
M1366,No seasonality,With trend
M1367,No seasonality,With trend
M1368,No seasonality,With trend
M1369,With seasonality,With trend
M137,No seasonality,No trend
M1370,With seasonality,With trend
M1371,With seasonality,With trend
M1372,No seasonality,With trend
M1373,No seasonality,With trend
M1374,No seasonality,With trend
M1375,No seasonality,With trend
M1376,With seasonality,With trend
M1377,With seasonality,No trend
M1378,No seasonality,No trend
M1379,No seasonality,No trend
M138,No seasonality,No trend
M1380,No seasonality,No trend
M1381,No seasonality,No trend
M1382,No seasonality,No trend
M1383,With seasonality,No trend
M1384,With seasonality,No trend
M1385,With seasonality,No trend
M1386,With seasonality,No trend
M1387,With seasonality,No trend
M1388,With seasonality,No trend
M1389,With seasonality,No trend
M139,No seasonality,With trend
M1390,With seasonality,No trend
M1391,With seasonality,No trend
M1392,With seasonality,No trend
M1393,With seasonality,No trend
M1394,With seasonality,No trend
M1395,With seasonality,No trend
M1396,With seasonality,No trend
M1397,With seasonality,No trend
M1398,With seasonality,No trend
M1399,With seasonality,No trend
M14,No seasonality,No trend
M140,No seasonality,With trend
M1400,No seasonality,With trend
M1401,No seasonality,With trend
M1402,No seasonality,With trend
M1403,No seasonality,With trend
M1404,No seasonality,With trend
M1405,No seasonality,With trend
M1406,No seasonality,With trend
M1407,No seasonality,With trend
M1408,No seasonality,With trend
M1409,No seasonality,With trend
M141,No seasonality,No trend
M1410,No seasonality,With trend
M1411,No seasonality,With trend
M1412,No seasonality,With trend
M1413,No seasonality,With trend
M1414,No seasonality,With trend
M1415,No seasonality,With trend
M1416,No seasonality,With trend
M1417,No seasonality,With trend
M1418,No seasonality,With trend
M1419,With seasonality,With trend
M142,No seasonality,No trend
M1420,No seasonality,With trend
M1421,With seasonality,With trend
M1422,No seasonality,With trend
M1423,No seasonality,With trend
M1424,No seasonality,With trend
M1425,With seasonality,With trend
M1426,No seasonality,With trend
M1427,No seasonality,With trend
M1428,No seasonality,With trend
M143,No seasonality,No trend
M144,With seasonality,No trend
M145,No seasonality,No trend
M146,No seasonality,No trend
M147,No seasonality,No trend
M148,With seasonality,No trend
M149,No seasonality,No trend
M15,No seasonality,No trend
M150,No seasonality,No trend
M151,No seasonality,No trend
M152,With seasonality,With trend
M153,With seasonality,With trend
M154,With seasonality,With trend
M155,No seasonality,With trend
M156,With seasonality,With trend
M157,No seasonality,With trend
M158,No seasonality,With trend
M159,No seasonality,With trend
M16,With seasonality,No trend
M160,With seasonality,With trend
M161,With seasonality,With trend
M162,With seasonality,With trend
M163,With seasonality,With trend
M164,With seasonality,With trend
M165,With seasonality,With trend
M166,With seasonality,With trend
M167,With seasonality,With trend
M168,No seasonality,No trend
M169,No seasonality,No trend
M17,With seasonality,No trend
M170,No seasonality,No trend
M171,With seasonality,With trend
M172,With seasonality,No trend
M173,No seasonality,No trend
M174,With seasonality,With trend
M175,With seasonality,No trend
M176,With seasonality,No trend
M177,No seasonality,No trend
M178,With seasonality,No trend
M179,No seasonality,With trend
M18,No seasonality,No trend
M180,No seasonality,No trend
M181,No seasonality,With trend
M182,No seasonality,With trend
M183,With seasonality,With trend
M184,No seasonality,With trend
M185,With seasonality,With trend
M186,No seasonality,With trend
M187,With seasonality,With trend
M188,No seasonality,With trend
M189,No seasonality,With trend
M19,No seasonality,No trend
M190,No seasonality,No trend
M191,With seasonality,No trend
M192,With seasonality,No trend
M193,With seasonality,No trend
M194,With seasonality,No trend
M195,With seasonality,No trend
M196,No seasonality,No trend
M197,No seasonality,With trend
M198,No seasonality,With trend
M199,No seasonality,With trend
M2,No seasonality,No trend
M20,No seasonality,With trend
M200,No seasonality,With trend
M201,No seasonality,With trend
M202,No seasonality,With trend
M203,No seasonality,With trend
M204,No seasonality,With trend
M205,No seasonality,With trend
M206,No seasonality,No trend
M207,No seasonality,No trend
M208,With seasonality,With trend
M209,With seasonality,No trend
M21,No seasonality,With trend
M210,No seasonality,No trend
M211,With seasonality,No trend
M212,No seasonality,No trend
M213,No seasonality,No trend
M214,No seasonality,No trend
M215,No seasonality,No trend
M216,No seasonality,No trend
M217,With seasonality,No trend
M218,No seasonality,With trend
M219,No seasonality,No trend
M22,No seasonality,No trend
M220,No seasonality,No trend
M221,No seasonality,No trend
M222,No seasonality,No trend
M223,No seasonality,No trend
M224,No seasonality,No trend
M225,No seasonality,No trend
M226,No seasonality,No trend
M227,No seasonality,No trend
M228,No seasonality,No trend
M229,No seasonality,No trend
M23,No seasonality,With trend
M230,No seasonality,No trend
M231,No seasonality,No trend
M232,No seasonality,No trend
M233,No seasonality,No trend
M234,No seasonality,No trend
M235,No seasonality,No trend
M236,No seasonality,No trend
M237,No seasonality,No trend
M238,With seasonality,No trend
M239,No seasonality,No trend
M24,No seasonality,No trend
M240,No seasonality,No trend
M241,No seasonality,No trend
M242,No seasonality,No trend
M243,With seasonality,No trend
M244,With seasonality,No trend
M245,No seasonality,No trend
M246,With seasonality,No trend
M247,With seasonality,With trend
M248,No seasonality,No trend
M249,With seasonality,With trend
M25,No seasonality,No trend
M250,No seasonality,No trend
M251,With seasonality,With trend
M252,No seasonality,With trend
M253,With seasonality,No trend
M254,No seasonality,No trend
M255,No seasonality,No trend
M256,No seasonality,No trend
M257,With seasonality,No trend
M258,No seasonality,No trend
M259,No seasonality,No trend
M26,No seasonality,No trend
M260,No seasonality,No trend
M261,No seasonality,No trend
M262,No seasonality,No trend
M263,With seasonality,No trend
M264,With seasonality,No trend
M265,With seasonality,No trend
M266,No seasonality,No trend
M267,No seasonality,No trend
M268,No seasonality,No trend
M269,No seasonality,No trend
M27,No seasonality,With trend
M270,With seasonality,With trend
M271,With seasonality,No trend
M272,No seasonality,No trend
M273,With seasonality,No trend
M274,No seasonality,No trend
M275,No seasonality,No trend
M276,No seasonality,No trend
M277,No seasonality,No trend
M278,With seasonality,With trend
M279,With seasonality,With trend
M28,With seasonality,With trend
M280,No seasonality,With trend
M281,No seasonality,No trend
M282,With seasonality,No trend
M283,With seasonality,With trend
M284,With seasonality,With trend
M285,With seasonality,With trend
M286,With seasonality,With trend
M287,With seasonality,With trend
M288,No seasonality,With trend
M289,No seasonality,With trend
M29,No seasonality,With trend
M290,With seasonality,With trend
M291,With seasonality,With trend
M292,No seasonality,With trend
M293,With seasonality,With trend
M294,No seasonality,With trend
M295,With seasonality,With trend
M296,With seasonality,With trend
M297,No seasonality,With trend
M298,With seasonality,With trend
M299,No seasonality,With trend
M3,No seasonality,No trend
M30,No seasonality,No trend
M300,No seasonality,With trend
M301,No seasonality,With trend
M302,No seasonality,With trend
M303,With seasonality,With trend
M304,No seasonality,No trend
M305,No seasonality,No trend
M306,No seasonality,With trend
M307,No seasonality,With trend
M308,With seasonality,No trend
M309,With seasonality,With trend
M31,No seasonality,With trend
M310,With seasonality,With trend
M311,With seasonality,No trend
M312,With seasonality,No trend
M313,With seasonality,With trend
M314,With seasonality,No trend
M315,With seasonality,No trend
M316,With seasonality,With trend
M317,With seasonality,No trend
M318,With seasonality,No trend
M319,No seasonality,With trend
M32,No seasonality,With trend
M320,No seasonality,With trend
M321,No seasonality,With trend
M322,No seasonality,With trend
M323,No seasonality,With trend
M324,With seasonality,No trend
M325,With seasonality,With trend
M326,With seasonality,With trend
M327,With seasonality,With trend
M328,No seasonality,With trend
M329,With seasonality,With trend
M33,No seasonality,With trend
M330,With seasonality,With trend
M331,With seasonality,With trend
M332,With seasonality,With trend
M333,With seasonality,With trend
M334,No seasonality,With trend
M335,With seasonality,With trend
M336,No seasonality,With trend
M337,No seasonality,With trend
M338,No seasonality,With trend
M339,No seasonality,No trend
M34,No seasonality,No trend
M340,With seasonality,With trend
M341,No seasonality,With trend
M342,No seasonality,With trend
M343,No seasonality,With trend
M344,No seasonality,No trend
M345,No seasonality,No trend
M346,With seasonality,With trend
M347,With seasonality,With trend
M348,With seasonality,No trend
M349,No seasonality,With trend
M35,With seasonality,With trend
M350,With seasonality,With trend
M351,With seasonality,No trend
M352,With seasonality,With trend
M353,With seasonality,With trend
M354,With seasonality,With trend
M355,No seasonality,With trend
M356,With seasonality,With trend
M357,With seasonality,With trend
M358,No seasonality,With trend
M359,With seasonality,With trend
M36,No seasonality,No trend
M360,With seasonality,With trend
M361,With seasonality,With trend
M362,With seasonality,With trend
M363,No seasonality,With trend
M364,No seasonality,With trend
M365,With seasonality,With trend
M366,No seasonality,With trend
M367,No seasonality,With trend
M368,No seasonality,With trend
M369,With seasonality,No trend
M37,No seasonality,No trend
M370,No seasonality,No trend
M371,With seasonality,With trend
M372,With seasonality,With trend
M373,With seasonality,With trend
M374,With seasonality,With trend
M375,With seasonality,With trend
M376,No seasonality,With trend
M377,With seasonality,With trend
M378,With seasonality,With trend
M379,With seasonality,With trend
M38,No seasonality,No trend
M380,No seasonality,No trend
M381,With seasonality,No trend
M382,No seasonality,With trend
M383,With seasonality,With trend
M384,No seasonality,With trend
M385,No seasonality,With trend
M386,No seasonality,With trend
M387,With seasonality,With trend
M388,No seasonality,With trend
M389,No seasonality,With trend
M39,No seasonality,No trend
M390,With seasonality,With trend
M391,No seasonality,No trend
M392,No seasonality,No trend
M393,No seasonality,With trend
M394,With seasonality,No trend
M395,With seasonality,With trend
M396,With seasonality,With trend
M397,No seasonality,With trend
M398,No seasonality,With trend
M399,With seasonality,With trend
M4,No seasonality,With trend
M40,No seasonality,No trend
M400,No seasonality,With trend
M401,With seasonality,No trend
M402,With seasonality,With trend
M403,With seasonality,With trend
M404,With seasonality,No trend
M405,No seasonality,With trend
M406,With seasonality,With trend
M407,With seasonality,With trend
M408,With seasonality,With trend
M409,With seasonality,With trend
M41,With seasonality,No trend
M410,No seasonality,With trend
M411,With seasonality,With trend
M412,No seasonality,With trend
M413,No seasonality,No trend
M414,No seasonality,With trend
M415,With seasonality,With trend
M416,No seasonality,With trend
M417,With seasonality,With trend
M418,With seasonality,With trend
M419,No seasonality,No trend
M42,No seasonality,No trend
M420,No seasonality,No trend
M421,No seasonality,With trend
M422,No seasonality,No trend
M423,With seasonality,No trend
M424,No seasonality,With trend
M425,No seasonality,With trend
M426,No seasonality,No trend
M427,No seasonality,No trend
M428,No seasonality,With trend
M429,No seasonality,No trend
M43,With seasonality,No trend
M430,No seasonality,With trend
M431,No seasonality,With trend
M432,No seasonality,With trend
M433,No seasonality,With trend
M434,No seasonality,No trend
M435,No seasonality,No trend
M436,No seasonality,With trend
M437,No seasonality,No trend
M438,No seasonality,With trend
M439,No seasonality,With trend
M44,No seasonality,No trend
M440,No seasonality,With trend
M441,No seasonality,No trend
M442,No seasonality,With trend
M443,No seasonality,No trend
M444,With seasonality,With trend
M445,No seasonality,With trend
M446,No seasonality,With trend
M447,No seasonality,With trend
M448,No seasonality,With trend
M449,No seasonality,No trend
M45,No seasonality,With trend
M450,No seasonality,No trend
M451,No seasonality,With trend
M452,No seasonality,With trend
M453,No seasonality,With trend
M454,No seasonality,No trend
M455,No seasonality,No trend
M456,No seasonality,No trend
M457,With seasonality,No trend
M458,With seasonality,No trend
M459,With seasonality,No trend
M46,With seasonality,No trend
M460,No seasonality,With trend
M461,No seasonality,No trend
M462,No seasonality,With trend
M463,No seasonality,No trend
M464,No seasonality,No trend
M465,With seasonality,With trend
M466,No seasonality,With trend
M467,No seasonality,No trend
M468,No seasonality,No trend
M469,No seasonality,No trend
M47,With seasonality,With trend
M470,No seasonality,With trend
M471,No seasonality,No trend
M472,No seasonality,No trend
M473,No seasonality,No trend
M474,No seasonality,No trend
M475,With seasonality,With trend
M476,With seasonality,With trend
M477,With seasonality,With trend
M478,No seasonality,With trend
M479,No seasonality,With trend
M48,No seasonality,No trend
M480,No seasonality,With trend
M481,No seasonality,With trend
M482,No seasonality,With trend
M483,No seasonality,With trend
M484,No seasonality,With trend
M485,No seasonality,No trend
M486,With seasonality,With trend
M487,No seasonality,With trend
M488,With seasonality,With trend
M489,With seasonality,With trend
M49,With seasonality,No trend
M490,With seasonality,With trend
M491,With seasonality,With trend
M492,With seasonality,With trend
M493,With seasonality,With trend
M494,With seasonality,With trend
M495,With seasonality,With trend
M496,With seasonality,With trend
M497,With seasonality,With trend
M498,With seasonality,With trend
M499,With seasonality,With trend
M5,No seasonality,No trend
M50,No seasonality,No trend
M500,With seasonality,With trend
M501,With seasonality,With trend
M502,With seasonality,No trend
M503,No seasonality,With trend
M504,With seasonality,With trend
M505,With seasonality,With trend
M506,With seasonality,With trend
M507,With seasonality,With trend
M508,With seasonality,With trend
M509,With seasonality,With trend
M51,No seasonality,No trend
M510,With seasonality,With trend
M511,With seasonality,No trend
M512,With seasonality,With trend
M513,With seasonality,With trend
M514,With seasonality,With trend
M515,With seasonality,With trend
M516,No seasonality,With trend
M517,No seasonality,With trend
M518,No seasonality,No trend
M519,With seasonality,With trend
M52,With seasonality,No trend
M520,With seasonality,With trend
M521,With seasonality,With trend
M522,With seasonality,With trend
M523,With seasonality,With trend
M524,With seasonality,With trend
M525,With seasonality,With trend
M526,No seasonality,With trend
M527,With seasonality,With trend
M528,With seasonality,With trend
M529,No seasonality,With trend
M53,No seasonality,No trend
M530,With seasonality,With trend
M531,With seasonality,With trend
M532,With seasonality,With trend
M533,No seasonality,With trend
M534,No seasonality,With trend
M535,No seasonality,With trend
M536,No seasonality,With trend
M537,With seasonality,With trend
M538,With seasonality,With trend
M539,No seasonality,With trend
M54,No seasonality,No trend
M540,With seasonality,With trend
M541,No seasonality,With trend
M542,No seasonality,With trend
M543,No seasonality,With trend
M544,No seasonality,With trend
M545,With seasonality,With trend
M546,No seasonality,With trend
M547,With seasonality,With trend
M548,No seasonality,With trend
M549,No seasonality,With trend
M55,No seasonality,No trend
M550,No seasonality,With trend
M551,No seasonality,With trend
M552,With seasonality,With trend
M553,No seasonality,With trend
M554,With seasonality,With trend
M555,With seasonality,With trend
M556,With seasonality,With trend
M557,With seasonality,With trend
M558,With seasonality,With trend
M559,With seasonality,With trend
M56,With seasonality,No trend
M560,No seasonality,With trend
M561,With seasonality,With trend
M562,With seasonality,With trend
M563,With seasonality,With trend
M564,With seasonality,With trend
M565,With seasonality,With trend
M566,With seasonality,With trend
M567,With seasonality,With trend
M568,With seasonality,With trend
M569,With seasonality,With trend
M57,No seasonality,No trend
M570,With seasonality,With trend
M571,With seasonality,With trend
M572,With seasonality,With trend
M573,No seasonality,With trend
M574,No seasonality,With trend
M575,No seasonality,With trend
M576,No seasonality,With trend
M577,No seasonality,With trend
M578,No seasonality,With trend
M579,With seasonality,With trend
M58,No seasonality,No trend
M580,No seasonality,With trend
M581,With seasonality,With trend
M582,No seasonality,With trend
M583,No seasonality,With trend
M584,No seasonality,With trend
M585,No seasonality,With trend
M586,With seasonality,No trend
M587,No seasonality,With trend
M588,No seasonality,With trend
M589,No seasonality,With trend
M59,No seasonality,No trend
M590,No seasonality,With trend
M591,No seasonality,With trend
M592,With seasonality,With trend
M593,With seasonality,With trend
M594,With seasonality,With trend
M595,With seasonality,With trend
M596,With seasonality,With trend
M597,With seasonality,With trend
M598,No seasonality,With trend
M599,No seasonality,With trend
M6,No seasonality,No trend
M60,No seasonality,With trend
M600,With seasonality,No trend
M601,With seasonality,No trend
M602,No seasonality,With trend
M603,No seasonality,With trend
M604,No seasonality,With trend
M605,No seasonality,With trend
M606,No seasonality,With trend
M607,No seasonality,With trend
M608,No seasonality,With trend
M609,No seasonality,With trend
M61,No seasonality,No trend
M610,No seasonality,With trend
M611,With seasonality,With trend
M612,With seasonality,With trend
M613,With seasonality,With trend
M614,With seasonality,With trend
M615,With seasonality,With trend
M616,With seasonality,With trend
M617,With seasonality,With trend
M618,With seasonality,With trend
M619,With seasonality,With trend
M62,No seasonality,No trend
M620,With seasonality,With trend
M621,No seasonality,No trend
M622,With seasonality,With trend
M623,With seasonality,With trend
M624,With seasonality,With trend
M625,No seasonality,With trend
M626,No seasonality,With trend
M627,No seasonality,With trend
M628,With seasonality,With trend
M629,No seasonality,No trend
M63,No seasonality,No trend
M630,No seasonality,No trend
M631,With seasonality,With trend
M632,With seasonality,With trend
M633,With seasonality,With trend
M634,With seasonality,No trend
M635,With seasonality,With trend
M636,With seasonality,With trend
M637,With seasonality,With trend
M638,No seasonality,With trend
M639,With seasonality,With trend
M64,With seasonality,No trend
M640,No seasonality,With trend
M641,With seasonality,With trend
M642,No seasonality,With trend
M643,With seasonality,With trend
M644,No seasonality,With trend
M645,With seasonality,With trend
M646,No seasonality,With trend
M647,With seasonality,With trend
M648,With seasonality,With trend
M649,With seasonality,With trend
M65,With seasonality,No trend
